id,fasta
screening_000001|AA1C,filtered_candidates.fasta
screening_000002|AA1D,filtered_candidates.fasta
screening_000003|AA1E,filtered_candidates.fasta
screening_000004|AA1F,filtered_candidates.fasta
screening_000005|AA1G,filtered_candidates.fasta
screening_000006|AA1H,filtered_candidates.fasta
screening_000007|AA1I,filtered_candidates.fasta
screening_000008|AA1K,filtered_candidates.fasta
screening_000009|AA1L,filtered_candidates.fasta
screening_000010|AA1M,filtered_candidates.fasta
screening_000011|AA1N,filtered_candidates.fasta
screening_000012|AA1P,filtered_candidates.fasta
screening_000013|AA1Q,filtered_candidates.fasta
screening_000014|AA1R,filtered_candidates.fasta
screening_000015|AA1S,filtered_candidates.fasta
screening_000016|AA1T,filtered_candidates.fasta
screening_000017|AA1V,filtered_candidates.fasta
screening_000018|AA1W,filtered_candidates.fasta
screening_000019|AA1Y,filtered_candidates.fasta
