id,fasta
screening_000001|HA4A,filtered_candidates.fasta
screening_000002|HA4C,filtered_candidates.fasta
screening_000003|HA4D,filtered_candidates.fasta
screening_000004|HA4E,filtered_candidates.fasta
screening_000005|HA4F,filtered_candidates.fasta
screening_000006|HA4G,filtered_candidates.fasta
screening_000007|HA4I,filtered_candidates.fasta
screening_000008|HA4K,filtered_candidates.fasta
screening_000009|HA4L,filtered_candidates.fasta
screening_000010|HA4M,filtered_candidates.fasta
screening_000011|HA4N,filtered_candidates.fasta
screening_000012|HA4P,filtered_candidates.fasta
screening_000013|HA4Q,filtered_candidates.fasta
screening_000014|HA4R,filtered_candidates.fasta
screening_000015|HA4S,filtered_candidates.fasta
screening_000016|HA4T,filtered_candidates.fasta
screening_000017|HA4V,filtered_candidates.fasta
screening_000018|HA4W,filtered_candidates.fasta
screening_000019|HA4Y,filtered_candidates.fasta
screening_000062|YA7F,filtered_candidates.fasta
screening_000077|GA8A,filtered_candidates.fasta
screening_000079|GA8D,filtered_candidates.fasta
screening_000082|GA8H,filtered_candidates.fasta
screening_000085|GA8L,filtered_candidates.fasta
screening_000087|GA8N,filtered_candidates.fasta
screening_000089|GA8Q,filtered_candidates.fasta
screening_000091|GA8S,filtered_candidates.fasta
screening_000092|GA8T,filtered_candidates.fasta
screening_000096|HA10A,filtered_candidates.fasta
screening_000098|HA10D,filtered_candidates.fasta
screening_000099|HA10E,filtered_candidates.fasta
screening_000100|HA10F,filtered_candidates.fasta
screening_000101|HA10G,filtered_candidates.fasta
screening_000102|HA10I,filtered_candidates.fasta
screening_000103|HA10K,filtered_candidates.fasta
screening_000104|HA10L,filtered_candidates.fasta
screening_000105|HA10M,filtered_candidates.fasta
screening_000106|HA10N,filtered_candidates.fasta
screening_000108|HA10Q,filtered_candidates.fasta
screening_000109|HA10R,filtered_candidates.fasta
screening_000110|HA10S,filtered_candidates.fasta
screening_000111|HA10T,filtered_candidates.fasta
screening_000112|HA10V,filtered_candidates.fasta
screening_000114|HA10Y,filtered_candidates.fasta
screening_000117|NA11D,filtered_candidates.fasta
screening_000172|EA14A,filtered_candidates.fasta
screening_000173|EA14C,filtered_candidates.fasta
screening_000174|EA14D,filtered_candidates.fasta
screening_000175|EA14F,filtered_candidates.fasta
screening_000176|EA14G,filtered_candidates.fasta
screening_000177|EA14H,filtered_candidates.fasta
screening_000178|EA14I,filtered_candidates.fasta
screening_000179|EA14K,filtered_candidates.fasta
screening_000180|EA14L,filtered_candidates.fasta
screening_000181|EA14M,filtered_candidates.fasta
screening_000182|EA14N,filtered_candidates.fasta
screening_000184|EA14Q,filtered_candidates.fasta
screening_000185|EA14R,filtered_candidates.fasta
screening_000186|EA14S,filtered_candidates.fasta
screening_000187|EA14T,filtered_candidates.fasta
screening_000188|EA14V,filtered_candidates.fasta
screening_000189|EA14W,filtered_candidates.fasta
screening_000190|EA14Y,filtered_candidates.fasta
screening_000229|HA17A,filtered_candidates.fasta
screening_000230|HA17C,filtered_candidates.fasta
screening_000231|HA17D,filtered_candidates.fasta
screening_000233|HA17F,filtered_candidates.fasta
screening_000234|HA17G,filtered_candidates.fasta
screening_000243|HA17S,filtered_candidates.fasta
screening_000244|HA17T,filtered_candidates.fasta
screening_000246|HA17W,filtered_candidates.fasta
screening_000247|HA17Y,filtered_candidates.fasta
screening_000248|KA18A,filtered_candidates.fasta
screening_000249|KA18C,filtered_candidates.fasta
screening_000250|KA18D,filtered_candidates.fasta
screening_000251|KA18E,filtered_candidates.fasta
screening_000252|KA18F,filtered_candidates.fasta
screening_000253|KA18G,filtered_candidates.fasta
screening_000254|KA18H,filtered_candidates.fasta
screening_000255|KA18I,filtered_candidates.fasta
screening_000256|KA18L,filtered_candidates.fasta
screening_000257|KA18M,filtered_candidates.fasta
screening_000258|KA18N,filtered_candidates.fasta
screening_000260|KA18Q,filtered_candidates.fasta
screening_000261|KA18R,filtered_candidates.fasta
screening_000262|KA18S,filtered_candidates.fasta
screening_000263|KA18T,filtered_candidates.fasta
screening_000264|KA18V,filtered_candidates.fasta
screening_000265|KA18W,filtered_candidates.fasta
screening_000266|KA18Y,filtered_candidates.fasta
screening_000267|DA19A,filtered_candidates.fasta
screening_000268|DA19C,filtered_candidates.fasta
screening_000269|DA19E,filtered_candidates.fasta
screening_000270|DA19F,filtered_candidates.fasta
screening_000271|DA19G,filtered_candidates.fasta
screening_000272|DA19H,filtered_candidates.fasta
screening_000273|DA19I,filtered_candidates.fasta
screening_000274|DA19K,filtered_candidates.fasta
screening_000275|DA19L,filtered_candidates.fasta
screening_000276|DA19M,filtered_candidates.fasta
screening_000277|DA19N,filtered_candidates.fasta
screening_000279|DA19Q,filtered_candidates.fasta
screening_000280|DA19R,filtered_candidates.fasta
screening_000281|DA19S,filtered_candidates.fasta
screening_000283|DA19V,filtered_candidates.fasta
screening_000284|DA19W,filtered_candidates.fasta
screening_000285|DA19Y,filtered_candidates.fasta
screening_000305|SA29A,filtered_candidates.fasta
screening_000324|PA30A,filtered_candidates.fasta
screening_000362|TA35A,filtered_candidates.fasta
screening_000363|TA35C,filtered_candidates.fasta
screening_000364|TA35D,filtered_candidates.fasta
screening_000365|TA35E,filtered_candidates.fasta
screening_000367|TA35G,filtered_candidates.fasta
