id,fasta
screening_000001|KA10A,filtered_candidates.fasta
screening_000002|KA10C,filtered_candidates.fasta
screening_000003|KA10D,filtered_candidates.fasta
screening_000004|KA10E,filtered_candidates.fasta
screening_000005|KA10F,filtered_candidates.fasta
screening_000006|KA10G,filtered_candidates.fasta
screening_000007|KA10H,filtered_candidates.fasta
screening_000009|KA10L,filtered_candidates.fasta
screening_000010|KA10M,filtered_candidates.fasta
screening_000011|KA10N,filtered_candidates.fasta
screening_000013|KA10Q,filtered_candidates.fasta
screening_000014|KA10R,filtered_candidates.fasta
screening_000015|KA10S,filtered_candidates.fasta
screening_000016|KA10T,filtered_candidates.fasta
screening_000018|KA10W,filtered_candidates.fasta
screening_000019|KA10Y,filtered_candidates.fasta
